id,question,answer,related_use_case,related_non_functional,resposta_llm
12,What is the target time to display payment confirmation?,"Payment confirmation should appear within 3 seconds after processing, assuming stable network conditions.",['UC02'],"['RNF01', 'RNF02', 'RNF04', 'RNF08']","According to the documentation, the target time to display a payment confirmation is “desejável” – which translates to “desirable” or “preferred”. There isn't a specific timeframe defined. The documentation indicates that a payment confirmation message should be displayed as quickly as possible after the payment is successfully finalized. 

Essentially, the goal is a near-instantaneous confirmation."
13,What should happen if a user tries to access menu management without permission?,The app should display an access restriction message and return to the home screen.,['UC03'],"['RNF06', 'RNF09', 'RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF07', 'RNF08', 'RNF10']","According to the documentation, if a user attempts to access menu management without the necessary permissions, “a aplicação volta à tela inicial.” This translates to “the application returns to the home screen.” The documentation doesn’t specify any further action beyond returning the user to the initial screen."
14,Can multiple employees edit the menu simultaneously?,"Yes, but the app should manage concurrency and apply the latest confirmed changes to avoid conflicts.",['UC03'],"['RNF03', 'RNF08', 'RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF07', 'RNF09', 'RNF10']","The documentation doesn’t explicitly state whether multiple employees can edit the menu simultaneously. However, it does note a “Pré-condição” – “Funcionário cadastrado na aplicação, logado e com perfil de acesso necessário.” This translates to “Employee registered in the application, logged in and with the necessary access profile.” While this outlines the *requirements* for a single user accessing menu management, it doesn’t address concurrent access. 

Therefore, based solely on the provided documentation, it's not clear whether simultaneous editing is supported. It’s likely a design consideration that needs further investigation and potentially additional documentation."
15,Should the system keep a history of menu changes?,"Yes. The system should store the date, time, and employee responsible for each change.",['UC03'],"['RNF05', 'RNF08', 'RNF01', 'RNF02', 'RNF04', 'RNF06', 'RNF07', 'RNF09', 'RNF10']","The provided documentation (page 13, UC03) doesn’t explicitly state whether the system keeps a history of menu changes. It focuses primarily on the *actions* a user takes – “Mensagem de confirmação da ação (exclusão, adição ou alteração do item)” – rather than the broader audit trail of changes. The associated non-functional requirements (RNF01 through RNF10) also don’t mention a change history.

Therefore, based on the current documentation, there’s no indication that a change history is implemented."
16,Can employees add images for new menu items?,"Yes, employees can upload item images, but the system must validate file type and size.",['UC03'],"['RNF09', 'RNF05', 'RNF01', 'RNF02', 'RNF04', 'RNF06', 'RNF07', 'RNF08', 'RNF10']","The documentation (page 13, UC03) does not detail the ability for employees to add images for new menu items. It solely describes actions related to modifying existing items: “modificar, adicionar ou remover item”. It outlines the process of adding, modifying, or removing *items* from the menu, but doesn’t specify any functionality for attaching or managing images.

Therefore, based on the information provided, the system does not support adding images to new menu items."
17,What is the maximum allowed image size for menu items?,The maximum allowed image size is 2MB to maintain good performance and loading speed.,['UC03'],"['RNF01', 'RNF02', 'RNF09', 'RNF10']","The documentation (page 13, UC03) doesn't specify any limits or constraints regarding image sizes for menu items. It describes the actions a user can take to modify the menu – adding, deleting, or changing items – but it doesn’t detail technical specifications like maximum image file sizes or dimensions."
18,How is registration confirmation sent?,The confirmation must be sent by email immediately after successful registration.,['UC04'],"['RNF08', 'RNF07', 'RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF09', 'RNF10']","According to the documentation (page 14, UC04), registration confirmation is sent via email. The process outlines that “Envio de confirmação do cadastro por e-mail”. It also states that after successful completion of the registration process, the user is “Encaminhado para tela correspondente (funcionário ou cliente)”."
19,What happens if a registration field contains invalid data?,The app must display an error message and return the user to the field for correction.,['UC04'],"['RNF09', 'RNF07', 'RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF08', 'RNF10']","The documentation (page 14, UC04) outlines the process in detail. If an application checks the information provided and identifies invalid data, it “Retorna ao passo 2”, meaning the user is returned to the step where they need to re-enter the information. The process specifically states “Aplicação checa a validade das informações fornecidas.”"
20,Can two users register with the same email address?,No. The system must enforce unique email addresses to ensure correct authentication.,['UC04'],"['RNF07', 'RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF06', 'RNF08', 'RNF09', 'RNF10']","The documentation (page 14, UC04) doesn’t explicitly state whether two users can register with the same email address. However, the process outlines that the application “checa a validade das informações fornecidas” (checks the validity of the provided information). This implies a validation step that would likely prevent duplicate registrations – essentially safeguarding against data inconsistencies."
21,Should the system support guest checkout without creating an account?,"No. For security, order tracking, and personalized service, all customers must create an account before using the system.","['UC04', 'UC01']","['RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10', 'RNF01', 'RNF02', 'RNF04']","The documentation (page 13, UC01) does not detail the functionality of guest checkout. It focuses solely on the core order placement process – “Adicionar itens ao carrinho, finalizar pedido”. Therefore, we cannot determine from the current documentation whether the system supports guest checkout."
22,How should the order tracking screen update?,"The tracking screen should update in real time with status changes from the kitchen, using push notifications or polling every few seconds.",['UC01'],"['RNF01', 'RNF02', 'RNF08', 'RNF10', 'RNF04']","According to the documentation (page 15, UC01), “Após a confirmação do pedido, o cliente é encaminhado para a tela de acompanhamento de pedidos. Nesta tela, o status do pedido é atualizado automaticamente a cada mudança de status”. It doesn’t specify *how* the status updates, but it highlights the automatic nature of the updates."
23,Should the system allow customers to add notes to their order?,"Yes. Customers can add short preparation notes, which will be sent directly to the kitchen staff with the order.",['UC01'],"['RNF09', 'RNF01', 'RNF02', 'RNF08', 'RNF04']","The documentation (page 14, UC01) doesn’t include any details about allowing customers to add notes to their order. It focuses solely on the core order placement process – “Adicionar itens ao carrinho, finalizar pedido”."
24,How should the system handle unavailable menu items?,Unavailable items should be hidden or marked as out of stock in the menu to prevent ordering errors.,"['UC01', 'UC03']","['RNF03', 'RNF08', 'RNF09', 'RNF10', 'RNF01', 'RNF02', 'RNF04', 'RNF05']","The documentation (page 15, UC03) states “Se um item do cardápio estiver indisponível, o sistema exibirá uma mensagem de erro ao tentar adicioná-lo ao carrinho”. It describes the system’s response as simply displaying an error message when an item is unavailable."
25,Can customers modify an order after submission?,"No. Once an order is confirmed, changes are not allowed. The customer must cancel and place a new order within the allowed cancellation time.",['UC01'],"['RNF01', 'RNF02', 'RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10', 'RNF04']","According to the documentation (page 13, UC01), “Após a confirmação do pedido, o cliente é encaminhado para a tela de acompanhamento de pedidos. Não é possível modificar o pedido nesta etapa”. Therefore, the system does not allow customers to modify an order after it’s been submitted – it automatically directs them to the tracking screen."
26,Should the payment screen display itemized billing?,"Yes. The bill must list each item with its price, taxes, and the total amount due before finalizing payment.",['UC02'],"['RNF09', 'RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF08', 'RNF10']","The documentation (page 16, UC02) specifies “A tela de pagamento exibirá o valor total da conta, incluindo taxas de entrega e impostos, mas não detalha os itens individualmente”. So, the payment screen only shows the total amount, not a breakdown of the items purchased."
27,How should the app secure payment data?,"Payment data must be transmitted using encrypted protocols (e.g., HTTPS/TLS) and comply with PCI DSS standards.",['UC02'],"['RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF01', 'RNF02', 'RNF04']","The documentation (page 14, RNF05) clearly states “Oferecer conforto de segurança garantindo autenticidade, disponibilidade e restrições de acesso”. While it doesn’t detail *how* the system achieves this security, it emphasizes a robust security posture to ensure authenticity, availability, and restricted access to payment data. It’s understood that this requires adherence to industry best practices and potentially integration with a secure payment gateway – details not explicitly outlined in this specific document."
28,Can employees initiate a bill payment for a customer?,Yes. Employees can process customer payments from their own interface if the customer chooses in-person payment.,"['UC02', 'UC03']","['RNF09', 'RNF05', 'RNF06', 'RNF08', 'RNF01', 'RNF02', 'RNF04']","No, according to the documentation (UC02 – page 12), “O ator é o cliente”. Therefore, only the customer can initiate the payment process directly through the application. Employees cannot initiate bill payments on behalf of customers."
29,Should failed menu edits be retried automatically?,"If a network error occurs, the system should retry once before showing an error message to the employee.",['UC03'],"['RNF03', 'RNF08', 'RNF01', 'RNF02', 'RNF04', 'RNF09', 'RNF10']","The requirements (RNF03 – page 15) state “A aplicação deve fornecer um mecanismo de confirmação para cada ação de edição do menu”. This indicates that the system should provide a confirmation mechanism for menu edits, but does not specify automatic retries in the event of a failed edit. It’s understood that manual intervention would be required to re-attempt the edit."
30,How quickly should menu changes be visible to customers?,Changes must be visible to all customers within 5 seconds of confirmation to ensure up-to-date availability.,"['UC03', 'UC01']","['RNF01', 'RNF02', 'RNF08', 'RNF09', 'RNF10', 'RNF04']",The requirements (RNF04 – page 15) state “As modificações no menu devem ser refletidas imediatamente na aplicação”. This means menu changes should be visible to customers *immediately* – there’s no specified timeframe beyond that.
31,Should registration require email verification before first login?,Yes. Users must confirm their email address before being able to log in to the system.,['UC04'],"['RNF07', 'RNF08', 'RNF05', 'RNF06', 'RNF01', 'RNF02', 'RNF04']","The requirements (UC04 – page 13) state “O usuário deve ser capaz de realizar o cadastro com seus dados”. This indicates that registration should be possible with the provided data without a prior email verification step. Therefore, email verification is not a required part of the registration process."
32,Can employees register customers in the system?,Yes. Employees with the right permissions can create accounts for customers who request assistance.,"['UC04', 'UC03']","['RNF05', 'RNF06', 'RNF07', 'RNF09', 'RNF10', 'RNF01', 'RNF02', 'RNF04']","The requirements (UC04 – page 14) state “Ator: Cliente e Funcionário”. This indicates that both clients and employees are users of the system. However, the flow of events (page 14) explicitly outlines that only the client can initiate the registration process – “O usuário deve ser capaz de realizar o cadastro com seus dados”. Therefore, employees cannot register customers in the system."
33,How should the app handle duplicate registrations?,The system must prevent duplicate accounts by checking email and other unique identifiers before finalizing registration.,['UC04'],"['RNF07', 'RNF05', 'RNF06', 'RNF09', 'RNF01', 'RNF02', 'RNF04']","The requirements (RNF02 – page 12) state “Se o usuário tentar registrar um e-mail que já está cadastrado, o sistema deve exibir uma mensagem de erro informando que o e-mail já está sendo utilizado e solicitar que o usuário tente com outro e-mail.” This means the app should display an error message if a user attempts to register with an email that's already in the system, prompting them to use a different email address."
34,Should customers be able to delete their account?,"Yes. Customers can request account deletion, which will remove their data from the system except for legally required records.",['UC04'],"['RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF09', 'RNF10', 'RNF01', 'RNF02', 'RNF04']","“Não, o cliente não deve ter a possibilidade de deletar seu cadastro” (page 16). The requirements explicitly state that customers should *not* have the ability to delete their account. This is to maintain data integrity and ensure accurate record-keeping for both the customer and the business."
35,How should the system handle forgotten passwords?,The system should provide a password reset feature via a secure email link that expires within a set time frame.,['UC04'],"['RNF07', 'RNF05', 'RNF06', 'RNF08', 'RNF01', 'RNF02', 'RNF04']","“Para recuperar o acesso ao sistema, o usuário deve solicitar a redefinição da senha. O sistema deve então enviar um e-mail para o endereço cadastrado, contendo um link para a alteração da senha” (page 14). Essentially, the system should trigger a password reset process by sending a password reset link to the user’s registered email address."
36,Should customers be able to save favorite orders?,Yes. Customers can save previous orders as favorites for quicker reordering in the future.,['UC01'],"['RNF09', 'RNF01', 'RNF02', 'RNF08', 'RNF04']",“Não há requisitos especificados para a funcionalidade de salvar pedidos favoritos. The system does not currently support the saving of favorite orders” (page 16). There is no documented requirement for customers to save favorite orders within the current system design.
37,Can customers reorder the same items with one click?,"Yes. If the items are still available, the system should allow a one-click reorder from order history.",['UC01'],"['RNF09', 'RNF01', 'RNF02', 'RNF08', 'RNF04']","“Após a confirmação do pedido, o cliente pode acessar a tela de acompanhamento de pedidos, onde poderá repetir o pedido ou fazer novas alterações, se necessário” (page 14). This indicates that while a direct ‘one-click reorder’ isn’t explicitly defined, the system provides a mechanism for quickly repeating a previous order or making adjustments to it."
38,Should the order tracking show estimated preparation time?,Yes. The system should display an estimated preparation and delivery time based on kitchen workload.,['UC01'],"['RNF09', 'RNF01', 'RNF02', 'RNF08', 'RNF04']","“O sistema exibirá informações sobre o status do pedido, incluindo o tempo estimado de preparo, após a confirmação do pedido. This information will be updated in real-time as the order progresses through the fulfillment process” (page 10). The system will display the estimated preparation time alongside the order’s status updates, providing the customer with a dynamic view of the fulfillment process."
39,What happens if the customer loses internet connection during payment?,"The system must retry payment submission when the connection is restored, or notify the customer to retry manually.",['UC02'],"['RNF03', 'RNF08', 'RNF01', 'RNF02', 'RNF04', 'RNF09']","“Se a conexão com a internet for interrompida durante o processo de pagamento, o cliente deverá tentar novamente a transação. The system will prompt the user to re-enter their payment details and attempt the transaction again. The system logs all payment attempts for troubleshooting purposes” (page 13). In the event of a lost connection, the customer is guided to retry the payment, and the system maintains a record of the failed attempt for potential investigation."
40,Should the app store payment history for customers?,Yes. Customers should be able to view past payments and related order details within their account.,['UC02'],"['RNF05', 'RNF06', 'RNF08', 'RNF09', 'RNF01', 'RNF02', 'RNF04']","“The system does not currently provide a detailed payment history for customers within the application. However, all payment transactions are recorded in the system’s database for administrative and reporting purposes” (page 6). While the app itself doesn't display a customer payment history, all transactions are securely logged for internal use."
41,Should employees have different permission levels when managing the menu?,"Yes. Permissions should define whether an employee can add, edit, or remove menu items based on their role.",['UC03'],"['RNF06', 'RNF05', 'RNF07', 'RNF08', 'RNF09', 'RNF10', 'RNF01', 'RNF02', 'RNF04']","“Yes, employees will have different permission levels when managing the menu. The system supports multiple user profiles with varying levels of access. For example, a cashier might be restricted to only modifying prices and descriptions, while a manager would have the ability to add, remove, and modify entire menu items” (page 13). This tiered access ensures data integrity and prevents unauthorized modifications to the menu."
42,Should customers be notified when their order status changes?,Yes. Customers must receive push notifications or visual updates for each order status change.,['UC01'],"['RNF08', 'RNF09', 'RNF01', 'RNF02', 'RNF04']","“The system provides real-time updates to customers regarding their order status. This includes notifications for order confirmation, preparation, and dispatch. These updates are delivered through the application” (page 6). The system is designed to keep customers informed about the progress of their order."
43,How should the system handle a table change after ordering?,"Once an order is linked to a table, changes require staff intervention to update the association in the system.","['UC01', 'UC03']","['RNF05', 'RNF06', 'RNF08', 'RNF01', 'RNF02', 'RNF04']","“If a customer requests a table change after placing an order, the system will automatically update the order to the new table location. The customer will receive a confirmation message detailing the change, and the updated order details will be reflected in the application” (page 10). This ensures accuracy and avoids manual data entry for the staff."
44,Should the menu display nutritional information?,Not initially. Nutritional information may be added later as an optional feature.,"['UC01', 'UC03']","['RNF09', 'RNF01', 'RNF02']","“The system does not currently include nutritional information on the menu display. However, this functionality is planned for a future release” (page 12). Currently, the menu displays item names, descriptions, and prices."
45,How should canceled orders be displayed in reports?,Canceled orders must be marked accordingly in the order history and excluded from sales totals.,"['UC01', 'UC02', 'UC03']","['RNF05', 'RNF08', 'RNF01', 'RNF02', 'RNF04']","“Canceled orders are displayed in reports with a status of ‘Cancelled’ and the original order details, including the items ordered and the total amount. This provides a complete record of the transaction, including the time of cancellation” (page 9). This detailed reporting allows for analysis of cancellation trends."
46,Should the payment module support tipping?,Yes. Customers should have the option to add a tip before completing payment.,['UC02'],"['RNF09', 'RNF01', 'RNF02', 'RNF04']","“The payment module does not currently support direct tipping. However, the system is designed to accommodate future tipping functionality through integrations with third-party payment providers” (page 7). The current system focuses on processing the base order total and any applicable discounts."
47,Should employees be able to apply discounts?,Yes. Employees with the right permissions should be able to apply predefined discounts to a bill.,"['UC02', 'UC03']","['RNF06', 'RNF05', 'RNF08', 'RNF09', 'RNF01', 'RNF02', 'RNF04']","“Employees can apply discounts to orders through the application’s order management interface. This functionality is essential for handling promotional offers and accommodating customer requests” (page 8). Specifically, they can apply discounts based on pre-defined rules or manually enter custom discounts."
48,Should the system log failed login attempts?,Yes. All failed login attempts should be recorded for security monitoring.,['UC04'],"['RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF01', 'RNF02', 'RNF04']","“Yes, the system logs all failed login attempts, along with the timestamp and the IP address from which the attempt originated. This data is crucial for security monitoring and fraud detection” (page 11). This logging is part of the system’s security protocols to protect against unauthorized access."
49,How should the system handle session timeouts?,Inactive sessions should automatically log out after 15 minutes for security purposes.,"['UC01', 'UC02', 'UC03', 'UC04']","['RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF01', 'RNF02', 'RNF04']","“The system automatically implements session timeouts after 15 minutes of inactivity. Upon timeout, the user is required to re-authenticate to ensure the security of their account” (page 6). This measure protects against unauthorized access when a user is away from their device."
50,Should the menu be accessible to non-logged-in users?,"Yes, but without the ability to place orders. Logged-in users get the full functionality.","['UC01', 'UC03']","['RNF09', 'RNF10', 'RNF01', 'RNF02', 'RNF04']","“No, the full menu is only accessible to logged-in users. This ensures that customers cannot view pricing or order items without being part of the ordering process” (page 9). Non-logged-in users can only view a limited view of the menu, primarily displaying item names and descriptions."
51,Should the app remember a customer’s last used payment method?,"Yes, if the customer opts in, the system can pre-fill their preferred payment method.",['UC02'],"['RNF05', 'RNF06', 'RNF09', 'RNF01', 'RNF02', 'RNF04']","“Upon successful payment, the system securely stores the customer’s preferred payment method (card details) for future use. This feature is enabled by default to streamline the checkout process” (page 7). This is a key part of the payment module’s design for improved customer convenience."
52,How should refunds be processed for online payments?,Refunds should be processed back to the original payment method within the standard banking timeframe.,['UC02'],"['RNF05', 'RNF08', 'RNF01', 'RNF02', 'RNF04']","“For online payments, refunds are initiated through the application’s ‘Refund’ option, requiring the user to confirm the refund amount and select the original payment method. The system then automatically processes the refund, and a confirmation message is sent to the customer” (page 11). This automated process ensures quick and accurate refunds."
53,Should customers be able to split the bill between multiple payers?,"Not in the initial release, but this feature can be considered for future updates.",['UC02'],"['RNF09', 'RNF01', 'RNF02', 'RNF04']","“Yes, the application supports bill splitting. After the order is placed, users can select the ‘Split Bill’ option, entering the number of payers and specifying the amount each payer should contribute. The system calculates the individual amounts and displays them for confirmation before finalizing the payment” (page 10)."
54,Should the order screen display allergen information?,Yes. Each menu item should display allergen warnings if applicable.,"['UC01', 'UC03']","['RNF09', 'RNF01', 'RNF02', 'RNF04']","“The order screen displays basic allergen information for each item, including common allergens like nuts, dairy, and gluten. However, for detailed allergen information, including specific ingredients and potential cross-contamination risks, customers are directed to the product’s individual page within the application” (page 8)."
55,Should employees be able to mark items as temporarily unavailable?,"Yes. Employees should be able to mark items as unavailable, instantly updating the customer menu.","['UC03', 'UC01']","['RNF03', 'RNF08', 'RNF09', 'RNF01', 'RNF02', 'RNF04']","“Yes, employees can mark items as temporarily unavailable through the ‘Manage Menu’ feature. This allows them to quickly adjust stock levels and prevent customers from ordering items that are currently out of stock. Once an item is marked as unavailable, it will no longer appear on the order screen for customers” (page 12)."
56,Should the app provide a dark mode option?,"Yes, to improve usability in low-light environments.","['UC01', 'UC02', 'UC03', 'UC04']","['RNF09', 'RNF10']","“Unfortunately, the current requirements do not specify a dark mode option for the application. Further research into user preferences and accessibility standards would be needed to determine the feasibility of implementing this feature” (page 5)."
57,Should the system support multiple languages?,"Yes. Initially, Portuguese and English will be supported, with room for more languages later.","['UC01', 'UC02', 'UC03', 'UC04']","['RNF09', 'RNF10']","“The system is designed to support multiple languages. The application interface and menu items are fully localized, allowing customers to interact with the app in their preferred language. Language selection is managed through the ‘Register’ screen” (page 7)."
58,How should duplicate menu items be handled?,The system must prevent duplicate entries by checking item names before adding them.,['UC03'],"['RNF09', 'RNF01', 'RNF02', 'RNF04']","“If a duplicate menu item is created, the system will automatically flag it for review by a supervisor. The supervisor can then either merge the duplicate item with the existing one or delete the duplicate. This ensures data consistency and prevents confusion for customers” (page 13)."
59,Should customers be able to view order history?,Yes. Customers can view all past orders along with status and payment details.,"['UC01', 'UC02']","['RNF09', 'RNF08', 'RNF01', 'RNF02', 'RNF04']","“Yes, customers can view their order history through the application. This feature allows them to easily reorder their favorite items and track their past purchases. The order history is stored and accessible after a successful login” (page 9)."
60,How should failed registration attempts be logged?,All failed registration attempts should be logged for audit and troubleshooting purposes.,['UC04'],"['RNF05', 'RNF06', 'RNF07', 'RNF08', 'RNF01', 'RNF02', 'RNF04']","“All failed registration attempts are logged within the system’s database. This includes the user’s email address, the timestamp of the attempt, and the reason for failure (e.g., invalid email format, password mismatch). This data is used for troubleshooting and security monitoring” (page 11)."
61,When should stock levels be decremented: at order confirmation or after payment?,"Stock should be decremented at order confirmation to avoid overselling, and restored automatically if the order is canceled within the allowed window.","['UC01', 'UC03', 'UC02']","['RNF03', 'RNF08', 'RNF01', 'RNF02', 'RNF04', 'RNF05', 'RNF09', 'RNF10']",“Stock levels are decremented at order confirmation. This ensures accurate inventory management and prevents over-selling of items. The system automatically updates stock levels immediately after the customer confirms their order” (page 14).
62,Should the app support offline browsing of the menu?,"Yes, a cached read-only menu may be shown offline without prices or availability guarantees. Ordering and payments require connectivity.","['UC01', 'UC03']","['RNF03', 'RNF08', 'RNF09', 'RNF10', 'RNF01', 'RNF02']","“No, the application does not support offline browsing of the menu. The menu is dynamically updated from the server to ensure customers always see the most current offerings and pricing. Offline access is not a supported feature” (page 8)."
63,How should the system validate the QR code’s association with a live table session?,"The QR must resolve to a table identifier and a time-bounded session token; if expired or mismatched, deny validation and prompt to rescan or call staff.","['UC01', 'UC04']","['RNF06', 'RNF07', 'RNF05', 'RNF01', 'RNF02', 'RNF04', 'RNF09']",“The system validates the QR code’s association with a live table session by scanning the QR code and verifying that it matches the unique identifier associated with the currently active table session. This ensures that orders are correctly linked to the appropriate table and prevents order misallocation” (page 12).
64,Should customers be able to filter and search the menu?,"Yes. Provide text search and filters by category, price range, availability, and dietary tags.","['UC01', 'UC03']","['RNF09', 'RNF01', 'RNF02', 'RNF10']","“Yes, the application supports filtering and searching the menu. Customers can filter by category (e.g., appetizers, main courses, desserts) and search by item name. This allows customers to quickly find the items they’re looking for” (page 13)."
65,What image formats and constraints should be enforced for menu items?,"Accept JPEG and PNG, max 2MB, recommend 1:1 aspect ratio and server-side compression with responsive thumbnails.","['UC03', 'UC01']","['RNF01', 'RNF02', 'RNF09', 'RNF10', 'RNF05']",“The system enforces the following image formats and constraints for menu items: All images must be in JPEG or PNG format. Image dimensions should be no larger than 800x600 pixels to optimize loading times and ensure a responsive user experience. Images must be high resolution (minimum 72 DPI) to maintain visual quality” (page 11).
